Character,Month,Situation Text,Opt 1 Text,Opt 1 Money Change,Opt 1 Happy Change,Opt 1 Rate Change,Opt 1 Response Text,Opt 2 Text,Opt 2 Money Change,Opt 2 Happy Change,Opt 2 Rate Change,Opt 2 Response Text,Opt 3 Text,Opt 3 Money Change,Opt 3 Happy Change,Opt 3 Rate Change,Opt 3 Response Text
Darlene,1,You look at your budget and you realize you need to make some changes.  But all of the expenses seem necessary! What do you do?,"Eliminate all the entertainment, as I need the money for a new shiny car! But what if people stop liking me because I never party? I can't lose my personality!",360,-2,360,"Great job saving money! $360 more a month can go a long way. Unfortunately, you become less popular, which makes you sad.",Just work overtime later! I would rather sacrifice some time to make some more money than give up all my luxuries! (+$400/month),400,-3,400,"You may be getting extra money in the bank, but your hapiness decreases slightly every month because of how much extra time you need to spend working.","Cut my clothing bill to $50/month, even though my boyfriend loves my clothes… and I don't want to make him upset.",500,-7,500,Oh no! You went into depression because your boyfriend hates you without all your fashion.
Darlene,2,"It's that time of year! Time to figure out your housing situation. You have one semester left, and you really want to finish strong and end with the same dorm you've had for four years now. But…..is it really the best option?","Get the dorm! I can find money in other ways, and dorming has been one of the best experiences in my life. Get the dorm! Get the dorm! ",0,3,0,You love the dorm! You and your friends get to party all the time!,"With the amount of good friends I have, why not just get an apartment with four other friends? This could be a way cheaper option for me. ",380,1,380,"Awesome! You made both a financial and personal smart decision, saving $380 a month! Wazah!","Honestly, NJ isn't that big. I can just meet my friends from time to time. I say, COMMUTING is the best option. Nothing is cheaper than free…",880,-3,880,"Even though you still spend time with your friends, you personally feel like a pathetic loser. Your hapiness goes down. But hey, you save $880 a month!"
Darlene,3,"CANCUNNNNNNNNNN! WHO DOESN'T LOVE AN AMAZING SUMMER RETREAT?! Your friends are planning a summer vacation to Cancun and they are begging you to join. It's always been your dream, and honestly, you could use a good picker upper.","Skip the trip. I can always go to these vacations after college, when I'm making some real money at my full time job. ",0,-3,0,Ah man! Could've met a hot lifeguard if you went. You might have even done some YOGA with him.,"100% YES, I need the trip to fix the rut I've been in. It's definitely worth the money.  ",-500,4,0,"Woohooooo, the Cancun trip was amazing (only $500)...you met a couple hot life guards. You even got a hot YOGA date with one of them. ",N/A,0,0,0,N/A
Darlene,4,"Your best friend approaches you with an investment opportunity. He lets you know that while this is EXTREMELY RISKY, there is a chance that you can get up to double your returns. What do you want to do?","Yes, I will definitely invest. I'll put in $500 of my money",-500,0,0,You lose your investment...,"No, I think I would rather just play it safe ",-1,0,0,"Your friend calls you a bit boring, and you two grow slightly apart...",N/A,0,0,0,N/A
Darlene,5,"Your college advisor approaches you to inform you that there has been a change with the dining plan rules. You can now choose to continue on the same dining plan, or opt to fend for your own. What do you do?","Yeah, I'm sick of this dining food. I would rather cook by myself. Anyways I eat out a lot, so I can just continue that a bit more, and cook for myself a bit too. ",260,1,260,"Gordon Ramsay replies to your Instagram post, ""Amazing eggs benedict, you are a star!"" You even save $260 a month!","I think I'll stick to the dining plan, but thanks!",0,-2,0,You grow tired of the grill station and overcooked potatoes every day.,"You know what, know that I'm thinking about it, I think I should cut my outside dining too. I'll stick to the home food diet.  ",360,-2,360,You're always jealous seeing your favorite people go to MCC campus for the delicious chicken tenders. Your happiness decreases.
Darlene,6,"Graduation is approaching which means only ONE THING: GRADUATION PARTY. You have been looking forward to this for a long time and this is one event you just can't forget. The Graduation Party to host will cost $250. Remember, starting next month, you would like to make your downpayment for the car, and begin to make monthly payments on it as well.","Yeah, do the graduation party…it's something that I just can't skip. ",-250,4,0,WOW! THAT WAS AMAZING. A cute guy named Jordan gave you his phone number. Can't wait for what the future has in store!,"Eh, I'm not sure if I have the money, but I'll pick up a second job as well (+200 this month). I really need to have this and I'm willing to sacrifice short term sadness for long term happiness",-50,2,0,"You worked hard, and you managed to get the party without spending too much money! Good job! To top it all of, a cute guy named Jordan gave you his phone number","I'm tired and burnt out. If I had the money I would spend it, but honestly I'll try to enjoy my friends' parties. There's nothing I can do. ",0,-2,0,"You're a loser to yourself. Your happiness decreases because you're jealous of all the other parties. You even had to deal with your friend getting a cute guy's phone number who you really wanted to talk to. Oh well, I guess Jordan wasn't the man for you."
Darlene,7,It's time to start working! You graduated and you are going to start your job next month. You need to put that downpayment for the car and start with your monthly payments next month. Your employer calls you and tells you that your monthly salary will be $3500/month. Figure out a plan so that you will be able to survive financially. The monthly payments for the car will be $500/month,"I can't afford the car yet. Unfortunately, I am going to need to take the bus. The bus costs $40/day for roundtrip. This means a monthly cost of $800. ",-800,-3,-800,Bummer! Saving money is harder than you thought. You should have been studying instead of partying. ,Yes! Buy the car. Put down the downpayment for $3000. ,-3000,2,-500,"Congrats! You got the car! With the car, your opportunities are endless, and you've proven to yourself that you're financialy capable of success","I guess I'm ready for the car. But, I also need to cut some costs to make some room for the monthly payments, around $300 a month.",-300,-1,-500,You barely made it. But good job!
Bean,1,"Time to save! The first thing that you see is that your parents are sucking $2000 of your money every month. You love your parents to death, but $2000? Is it really necessary? I think it's time to change something. ","On second thought, my parents mean the world to me, I need to make sure they are living luxuriously even if it is at my own exepnse. Keep everything how it is. ",0,-1,0,"Even though your parents are happy, this is still a financial burden on you. Your happiness score goes down.","I can't keep letting them live as luxurious as possible, but at the same time, I don't just want to ignore them. Move them to a cheaper, but still very nice, old age home. Payments are only 1000 a month",1000,2,1000,"You're super excited that the burden is reduced. In fact, even your parents understand. It makes them happy that you wouldn't leave them hanging out to dry no matter what.",I'll take care of them again once I have the money. Let them know that they are moving to the state home where payments are only 500 dollars a month.,1500,-2,1500,"You may have saved money, but it kills you to see your parents in the state home. They are unhappy, and so are you. This is not how they wanted to live luxuriously in their retirement. "
Bean,2,"$750 for a daycare center! That's outrageous. I mean, what are they serving there, steaks and eggs?","Let's move to a little cheaper. It may be a little bit farther from home, but at least you're saving money on the daycare. Pay $300 every month instead.",450,-2,450,"Your child is  nervous about the new place. Because of his anxiety, he's been annoying you all night, and you barely get any sleep. Your happiness goes down.",Keep the daycare. You're child's happiness should go over everything. You'll figure out another way to save the money. ,0,2,0,"Thankfully, you didn't change. Your child cried just at the prospect of changing daycares. Because he's happy, you're also happy","Come home early every day and have a nanny take care of your son until the morning. Pay $100/month, and you will lose some money due to fewer hours at work. ",300,-1,300,"You're losing time at work, which means less time in front of your boss. He's becoming unhappy, which means you are too."
Bean,3,"Every month you are losing $300 to an investment that could be going towards your saving for your child. Who knows if it will ever pay off, but every month, you trust your gut. However, time is running out. What do you do?",Keep the investment. Who knows if it will ever pay off?,0,0,0,Great choice! It's always wise to keep your money growing in investments. Let your money work for you!,Keep the money. You're going to need it so that you can continue saving your money. ,300,0,300,Oh no! Maybe you should have kept the investment. $300 dollars today could mean more money in your pocket later.,"Maybe try keeping the investment, but decrease it by $150. At least you're saving and investing that way. ",150,0,150,Great compromise! Keeping half of the investment money and then investing the other half...at least this way you are still investing SOME money.
